Parent_Airline,Airline,Aircraft_Type,Current,Future,Historic,Total,Orders,Unit_Cost,Total_Cost,Average_Age
Aeroflot,Aeroflot,Airbus A330,22.0,0.0,0.0,22.0,0.0,240.0,5280.0,5.9
Aeroflot,Aeroflot,Antonov An-124,0.0,0.0,3.0,3.0,0.0,75.0,0.0,0.0
Aeroflot,Rossiya Airlines,Antonov An-124,0.0,0.0,2.0,2.0,0.0,75.0,0.0,0.0
Aeroflot,Rossiya Airlines,Antonov An-148/An-158,0.0,0.0,6.0,6.0,0.0,28.0,0.0,0.0
Aeroflot,Aeroflot,Boeing 737,20.0,1.0,16.0,37.0,26.0,74.0,1480.0,1.6
Aeroflot,Pobeda,Boeing 737,12.0,0.0,0.0,12.0,0.0,74.0,888.0,2.1
Aeroflot,Rossiya Airlines,Boeing 737,17.0,1.0,5.0,23.0,0.0,74.0,1258.0,9.6
Aeroflot,Aurora Airlines,Boeing 737,0.0,0.0,5.0,5.0,0.0,74.0,0.0,0.0
Aeroflot,Rossiya Airlines,Boeing 747,7.0,2.0,0.0,9.0,2.0,316.0,2211.0,16.7
Aeroflot,Aeroflot,Boeing 767,0.0,0.0,13.0,13.0,0.0,187.0,0.0,0.0
Aeroflot,Rossiya Airlines,Boeing 767,0.0,0.0,3.0,3.0,0.0,187.0,0.0,0.0
Aeroflot,Aeroflot,Boeing 777,15.0,0.0,2.0,17.0,1.0,295.0,4418.0,2.5
Aeroflot,Rossiya Airlines,Boeing 777,6.0,5.0,1.0,12.0,5.0,295.0,1767.0,17.7
Aeroflot,Aurora Airlines,De Havilland Canada DHC-8 Dash 8,8.0,2.0,1.0,12.0,0.0,31.0,250.0,14.8
Aeroflot,Rossiya Airlines,Ilyushin Il-62,0.0,0.0,1.0,1.0,0.0,45.0,0.0,0.0
Aeroflot,Aeroflot,Ilyushin Il-96,0.0,0.0,10.0,10.0,0.0,45.0,0.0,0.0
Aeroflot,Rossiya Airlines,Ilyushin Il-96,0.0,0.0,5.0,5.0,0.0,45.0,0.0,0.0
Aeroflot,Aeroflot,McDonnell Douglas DC-10,0.0,0.0,3.0,3.0,0.0,145.0,0.0,0.0
Aeroflot,Aeroflot,McDonnell Douglas MD-11,0.0,0.0,3.0,3.0,0.0,175.0,0.0,0.0
Aeroflot,Aeroflot,Sukhoi Superjet 100,30.0,0.0,10.0,40.0,20.0,28.0,825.0,2.2
Aeroflot,Aeroflot,Tupolev Tu-134,0.0,0.0,1.0,1.0,0.0,16.0,0.0,0.0
Aeroflot,Rossiya Airlines,Tupolev Tu-154,0.0,0.0,1.0,1.0,0.0,16.0,0.0,0.0
Aeroflot,Aeroflot,Tupolev Tu-204,0.0,0.0,3.0,3.0,0.0,16.0,0.0,0.0
Aeroflot,Rossiya Airlines,Tupolev Tu-204,0.0,0.0,2.0,2.0,0.0,16.0,0.0,0.0
Aeroflot,Rossiya Airlines,Tupolev Tu-214,0.0,0.0,3.0,3.0,0.0,16.0,0.0,0.0
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A310,0.0,0.0,5.0,5.0,0.0,75.0,0.0,0.0
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A320,0.0,0.0,2.0,2.0,0.0,98.0,0.0,0.0
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A330,9.0,1.0,0.0,10.0,0.0,240.0,2160.0,9.3
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A340,5.0,0.0,8.0,13.0,0.0,216.0,1078.0,19.3
Aerolineas Argentinas,Aerolineas Argentinas,Boeing 737,40.0,1.0,77.0,118.0,0.0,74.0,2959.0,6.6
Aerolineas Argentinas,Austral Líneas Aéreas,Boeing 737,0.0,0.0,8.0,8.0,0.0,74.0,0.0,0.0
Aerolineas Argentinas,Aerolineas Argentinas,Boeing 747,0.0,0.0,17.0,17.0,0.0,316.0,0.0,0.0
Aerolineas Argentinas,Aerolineas Argentinas,Boeing 757,0.0,0.0,1.0,1.0,0.0,73.0,0.0,0.0
Aerolineas Argentinas,Austral Líneas Aéreas,Embraer ERJ-190,26.0,1.0,0.0,27.0,0.0,46.0,1201.0,5.4
Aerolineas Argentinas,Austral Líneas Aéreas,McDonnell Douglas DC-9,0.0,0.0,14.0,14.0,0.0,45.0,0.0,0.0
Aerolineas Argentinas,Aerolineas Argentinas,McDonnell Douglas MD-80,0.0,0.0,7.0,7.0,0.0,45.0,0.0,0.0
Aerolineas Argentinas,Austral Líneas Aéreas,McDonnell Douglas MD-80,0.0,0.0,28.0,28.0,0.0,45.0,0.0,0.0
Air Algerie,Air Algerie,Airbus A300,0.0,0.0,2.0,2.0,0.0,75.0,0.0,0.0
Air Algerie,Air Algerie,Airbus A310,0.0,0.0,6.0,6.0,0.0,75.0,0.0,0.0
Air Algerie,Air Algerie,Airbus A320,0.0,0.0,4.0,4.0,0.0,98.0,0.0,0.0
Air Algerie,Air Algerie,Airbus A330,8.0,0.0,4.0,12.0,0.0,240.0,1920.0,8.1
Air Algerie,Air Algerie,Airbus A340,0.0,0.0,3.0,3.0,0.0,216.0,0.0,0.0
Air Algerie,Air Algerie,ATR 42/72,15.0,0.0,0.0,15.0,0.0,22.0,332.0,10.4
Air Algerie,Air Algerie,Boeing 737,31.0,1.0,38.0,70.0,2.0,74.0,2293.0,8.6
Air Algerie,Air Algerie,Boeing 747,0.0,0.0,14.0,14.0,0.0,316.0,0.0,0.0
Air Algerie,Air Algerie,Boeing 767,2.0,0.0,7.0,9.0,0.0,187.0,374.0,26.3
Air Algerie,Air Algerie,Boeing 777,0.0,0.0,2.0,2.0,0.0,295.0,0.0,0.0
Air Algerie,Air Algerie,McDonnell Douglas DC-10,0.0,0.0,2.0,2.0,0.0,145.0,0.0,0.0
Air Algerie,Air Algerie,McDonnell Douglas DC-8,0.0,0.0,24.0,24.0,0.0,6.0,0.0,0.0
Air Arabia,Air Arabia,Airbus A320,38.0,0.0,28.0,66.0,0.0,98.0,3724.0,2.9
Air Arabia,Air Arabia Egypt,Airbus A320,1.0,0.0,2.0,3.0,0.0,98.0,98.0,9.6
Air Arabia,Air Arabia Jordan,Airbus A320,2.0,0.0,1.0,3.0,0.0,98.0,196.0,10.0
Air Arabia,Air Arabia Maroc,Airbus A320,5.0,0.0,5.0,10.0,0.0,98.0,490.0,4.4
Air Astana,Air Astana,Airbus A319,1.0,0.0,0.0,1.0,0.0,90.0,90.0,8.4
Air Astana,Air Astana,Airbus A320,9.0,0.0,6.0,15.0,2.0,98.0,882.0,3.6
Air Astana,Air Astana,Airbus A321,4.0,0.0,0.0,4.0,8.0,115.0,460.0,10.6
Air Astana,Air Astana,Boeing 737,0.0,0.0,4.0,4.0,0.0,74.0,0.0,0.0
Air Astana,Air Astana,Boeing 757,5.0,0.0,0.0,5.0,0.0,73.0,363.0,19.5
Air Astana,Air Astana,Boeing 767,3.0,0.0,2.0,5.0,0.0,187.0,561.0,3.0
Air Astana,Air Astana,Embraer ERJ-190,9.0,0.0,0.0,9.0,0.0,46.0,416.0,4.5
Air Astana,Air Astana,Fokker F50 / F60,0.0,0.0,6.0,6.0,0.0,18.0,0.0,0.0
Air Berlin,Air Berlin,Airbus A319,6.0,0.0,15.0,21.0,0.0,90.0,538.0,8.5
Air Berlin,Air Berlin,Airbus A320,54.0,7.0,50.0,111.0,0.0,98.0,5292.0,7.6
Air Berlin,Air Berlin,Airbus A321,21.0,0.0,2.0,23.0,2.0,115.0,2413.0,6.0
Air Berlin,Air Berlin,Airbus A330,15.0,2.0,3.0,20.0,2.0,240.0,3600.0,13.1
Air Berlin,Air Berlin,ATR 42/72,0.0,0.0,1.0,1.0,0.0,22.0,0.0,0.0
Air Berlin,Air Berlin,Boeing 737,14.0,0.0,141.0,155.0,0.0,74.0,1036.0,9.5
Air Berlin,Air Berlin,Boeing 757,0.0,0.0,4.0,4.0,0.0,73.0,0.0,0.0
Air Berlin,Air Berlin,British Aerospace BAe 146/Avro RJ,0.0,0.0,4.0,4.0,0.0,14.0,0.0,0.0
Air Berlin,Air Berlin,De Havilland Canada DHC-8 Dash 8,20.0,0.0,0.0,20.0,1.0,31.0,626.0,7.4
Air Berlin,Air Berlin,Embraer ERJ-190,0.0,0.0,3.0,3.0,0.0,46.0,0.0,0.0
Air Berlin,Air Berlin,Fokker F70 / F100,0.0,0.0,18.0,18.0,0.0,20.0,0.0,0.0
Air Berlin,Air Berlin,McDonnell Douglas MD-80,0.0,0.0,1.0,1.0,0.0,45.0,0.0,0.0
Air Canada,Air Canada,Airbus A319,15.0,0.0,33.0,48.0,0.0,90.0,1344.0,18.9
Air Canada,Air Canada Jetz,Airbus A319,3.0,0.0,2.0,5.0,0.0,90.0,269.0,18.7
Air Canada,Air Canada Rouge,Airbus A319,20.0,0.0,0.0,20.0,0.0,90.0,1792.0,18.6
Air Canada,Air Canada,Airbus A320,42.0,0.0,13.0,55.0,0.0,98.0,4116.0,23.3
Air Canada,Air Canada,Airbus A321,15.0,0.0,3.0,18.0,0.0,115.0,1724.0,13.7
Air Canada,Air Canada Rouge,Airbus A321,5.0,0.0,0.0,5.0,0.0,115.0,575.0,1.0
Air Canada,Air Canada,Airbus A330,8.0,0.0,0.0,8.0,0.0,240.0,1920.0,16.3
Air Canada,Air Canada,Airbus A340,0.0,0.0,15.0,15.0,0.0,216.0,0.0,0.0
Air Canada,Air Canada,Boeing 727,0.0,0.0,28.0,28.0,0.0,4.0,0.0,0.0
Air Canada,Air Canada,Boeing 737,0.0,0.0,44.0,44.0,61.0,74.0,0.0,0.0
Air Canada,Air Canada Jetz,Boeing 737,0.0,0.0,2.0,2.0,0.0,74.0,0.0,0.0
Air Canada,Air Canada,Boeing 747,0.0,0.0,15.0,15.0,0.0,316.0,0.0,0.0
Air Canada,Air Canada,Boeing 767,15.0,0.0,48.0,63.0,0.0,187.0,2804.0,25.8
Air Canada,Air Canada Rouge,Boeing 767,19.0,0.0,0.0,19.0,6.0,187.0,3551.0,18.6
Air Canada,Air Canada,Boeing 777,25.0,0.0,0.0,25.0,0.0,295.0,7364.0,7.1
Air Canada,Air Canada,Boeing 787 Dreamliner,21.0,3.0,0.0,24.0,16.0,265.0,5567.0,1.4
Air Canada,Air Canada,Canadair CRJ-100 Series,0.0,0.0,26.0,26.0,0.0,32.0,0.0,0.0
Air Canada,Air Canada Regional,Canadair CRJ-100 Series,1.0,0.0,0.0,1.0,0.0,32.0,32.0,18.2
Air Canada,Air Canada,Embraer ERJ-170,0.0,0.0,15.0,15.0,0.0,39.0,0.0,0.0
Air Canada,Air Canada,Embraer ERJ-190,25.0,0.0,20.0,45.0,0.0,46.0,1155.0,9.5
Air Canada,Air Canada,McDonnell Douglas DC-8,0.0,0.0,43.0,43.0,0.0,6.0,0.0,0.0
Air Canada,Air Canada,McDonnell Douglas DC-9,0.0,0.0,64.0,64.0,0.0,45.0,0.0,0.0
Air China,Air Macau (66.9%),Airbus A300,0.0,0.0,8.0,8.0,0.0,75.0,0.0,0.0
Air China,Air China,Airbus A319,33.0,0.0,3.0,36.0,0.0,90.0,2957.0,10.5
Air China,Shenzhen Airlines,Airbus A319,5.0,0.0,0.0,5.0,0.0,90.0,448.0,10.5
Air China,Air Macau (66.9%),Airbus A319,4.0,0.0,1.0,5.0,0.0,90.0,358.0,14.1
Air China,Air China,Airbus A320,43.0,2.0,5.0,50.0,49.0,98.0,4214.0,4.6
Air China,Shenzhen Airlines,Airbus A320,79.0,1.0,1.0,81.0,0.0,98.0,7742.0,5.3
Air China,Air Macau (66.9%),Airbus A320,3.0,0.0,4.0,7.0,0.0,98.0,294.0,3.9
Air China,Air China,Airbus A321,55.0,3.0,0.0,58.0,0.0,115.0,6320.0,5.3
Air China,Air Macau (66.9%),Airbus A321,10.0,0.0,5.0,15.0,0.0,115.0,1149.0,6.1
Air China,Air China,Airbus A330,54.0,1.0,0.0,55.0,12.0,240.0,12960.0,5.8
Air China,Air China,Airbus A340,0.0,0.0,6.0,6.0,0.0,216.0,0.0,0.0
Air China,Air China,Airbus A350 XWB,0.0,1.0,0.0,1.0,10.0,312.0,0.0,0.0
Air China,Air China,Boeing 737,144.0,1.0,75.0,220.0,70.0,74.0,10653.0,6.6
Air China,Shenzhen Airlines,Boeing 737,87.0,0.0,22.0,109.0,0.0,74.0,6436.0,6.5
Air China,Shandong Airlines (51%),Boeing 737,98.0,1.0,16.0,115.0,36.0,74.0,7250.0,4.7
Air China,Air China Inner Mongolia,Boeing 737,3.0,0.0,0.0,3.0,0.0,74.0,222.0,9.1
Air China,Kunming Airlines (80%),Boeing 737,18.0,0.0,2.0,20.0,10.0,74.0,1332.0,4.7
Air China,Dalian Airlines (80%),Boeing 737,9.0,0.0,0.0,9.0,0.0,74.0,666.0,4.5
Air China,Air China,Boeing 747,10.0,0.0,18.0,28.0,0.0,316.0,3158.0,7.5
Air China,Air China Cargo,Boeing 747,3.0,0.0,12.0,15.0,0.0,316.0,947.0,14.5
Air China,Air China,Boeing 757,0.0,0.0,13.0,13.0,0.0,73.0,0.0,0.0
Air China,Air Macau (66.9%),Boeing 757,0.0,0.0,1.0,1.0,0.0,73.0,0.0,0.0
Air China,Air China Cargo,Boeing 757,4.0,0.0,0.0,4.0,0.0,73.0,290.0,20.4
Air China,Air China,Boeing 767,0.0,0.0,15.0,15.0,0.0,187.0,0.0,0.0
Air China,Air China,Boeing 777,29.0,0.0,4.0,33.0,5.0,295.0,8542.0,6.2
Air China,Air China Cargo,Boeing 777,8.0,0.0,0.0,8.0,0.0,295.0,2356.0,2.3
Air China,Air China,Boeing 787 Dreamliner,7.0,1.0,0.0,8.0,9.0,265.0,1856.0,0.4
Air China,Air China,British Aerospace BAe 146/Avro RJ,0.0,0.0,4.0,4.0,0.0,14.0,0.0,0.0
Air China,Shandong Airlines (51%),Canadair CRJ-100 Series,0.0,0.0,12.0,12.0,0.0,32.0,0.0,0.0
Air China,Shandong Airlines (51%),Canadair CRJ-700,2.0,0.0,0.0,2.0,0.0,41.0,82.0,13.3
Air China,Shandong Airlines (51%),Saab 340,0.0,0.0,1.0,1.0,0.0,8.0,0.0,0.0
Air China,Air China Cargo,Tupolev Tu-204,0.0,0.0,1.0,1.0,4.0,16.0,0.0,0.0
Air Europa,Air Europa,Airbus A330,15.0,0.0,2.0,17.0,0.0,240.0,3600.0,10.4
Air Europa,Air Europa,Airbus A340,0.0,0.0,1.0,1.0,0.0,216.0,0.0,0.0
Air Europa,Air Europa,ATR 42/72,4.0,0.0,6.0,10.0,0.0,22.0,88.0,21.9
Air Europa,Air Europa,Boeing 737,21.0,0.0,67.0,88.0,25.0,74.0,1554.0,8.0
Air Europa,Air Europa,Boeing 757,0.0,0.0,16.0,16.0,0.0,73.0,0.0,0.0
Air Europa,Air Europa,Boeing 767,0.0,0.0,7.0,7.0,0.0,187.0,0.0,0.0
Air Europa,Air Europa,Boeing 787 Dreamliner,3.0,4.0,1.0,8.0,21.0,265.0,795.0,0.5
Air Europa,Air Europa,Embraer ERJ-145,1.0,0.0,0.0,1.0,0.0,20.0,20.0,16.9
Air Europa,Air Europa,Embraer ERJ-190,7.0,0.0,4.0,11.0,0.0,46.0,323.0,6.2
Air Europa,Air Europa,McDonnell Douglas MD-80,0.0,0.0,1.0,1.0,0.0,45.0,0.0,0.0
Air France/KLM,Air France,Aérospatiale/BAC Concorde,0.0,0.0,7.0,7.0,0.0,29.0,0.0,0.0
Air France/KLM,Air France,Airbus A300,0.0,0.0,25.0,25.0,0.0,75.0,0.0,0.0
Air France/KLM,Transavia,Airbus A300,0.0,0.0,1.0,1.0,0.0,75.0,0.0,0.0
Air France/KLM,Air France,Airbus A310,0.0,0.0,11.0,11.0,0.0,75.0,0.0,0.0
Air France/KLM,KLM,Airbus A310,0.0,0.0,11.0,11.0,0.0,75.0,0.0,0.0
Air France/KLM,Transavia,Airbus A310,0.0,0.0,1.0,1.0,0.0,75.0,0.0,0.0
Air France/KLM,Martinair,Airbus A310,0.0,0.0,2.0,2.0,0.0,75.0,0.0,0.0
Air France/KLM,Air France,Airbus A318,18.0,0.0,0.0,18.0,0.0,66.0,1193.0,11.6
Air France/KLM,Air France,Airbus A319,38.0,0.0,11.0,49.0,0.0,90.0,3405.0,16.2
Air France/KLM,Air France,Airbus A320,43.0,0.0,63.0,106.0,2.0,98.0,4214.0,9.2
Air France/KLM,Transavia France,Airbus A320,0.0,0.0,4.0,4.0,0.0,98.0,0.0,0.0
Air France/KLM,Martinair,Airbus A320,0.0,0.0,7.0,7.0,0.0,98.0,0.0,0.0
Air France/KLM,Air France,Airbus A321,20.0,0.0,10.0,30.0,0.0,115.0,2298.0,14.1
Air France/KLM,Air France,Airbus A330,15.0,0.0,1.0,16.0,0.0,240.0,3600.0,14.1
Air France/KLM,KLM,Airbus A330,13.0,0.0,4.0,17.0,0.0,240.0,3120.0,7.7
Air France/KLM,Air France,Airbus A340,11.0,0.0,19.0,30.0,0.0,216.0,2371.0,18.3
Air France/KLM,Air France,Airbus A380,10.0,0.0,0.0,10.0,0.0,433.0,4326.0,5.9
Air France/KLM,HOP!,ATR 42/72,21.0,0.0,8.0,29.0,0.0,22.0,464.0,14.9
Air France/KLM,Air France,Boeing 727,0.0,0.0,5.0,5.0,0.0,4.0,0.0,0.0
Air France/KLM,Air France,Boeing 737,0.0,0.0,63.0,63.0,0.0,74.0,0.0,0.0
Air France/KLM,KLM,Boeing 737,48.0,0.0,44.0,92.0,0.0,74.0,3551.0,10.3
Air France/KLM,Transavia France,Boeing 737,26.0,0.0,0.0,26.0,0.0,74.0,1923.0,5.5
Air France/KLM,Transavia,Boeing 737,37.0,2.0,74.0,113.0,0.0,74.0,2737.0,9.0
Air France/KLM,Martinair,Boeing 737,0.0,0.0,3.0,3.0,0.0,74.0,0.0,0.0
Air France/KLM,Air France,Boeing 747,0.0,0.0,73.0,73.0,0.0,316.0,0.0,0.0
Air France/KLM,KLM,Boeing 747,20.0,0.0,26.0,46.0,0.0,316.0,6316.0,21.7
Air France/KLM,Martinair,Boeing 747,1.0,0.0,8.0,9.0,0.0,316.0,316.0,26.6
Air France/KLM,Transavia,Boeing 757,0.0,0.0,10.0,10.0,0.0,73.0,0.0,0.0
Air France/KLM,Martinair,Boeing 757,0.0,0.0,2.0,2.0,0.0,73.0,0.0,0.0
Air France/KLM,Air France,Boeing 767,0.0,0.0,9.0,9.0,0.0,187.0,0.0,0.0
Air France/KLM,KLM,Boeing 767,0.0,0.0,12.0,12.0,0.0,187.0,0.0,0.0
Air France/KLM,Martinair,Boeing 767,0.0,0.0,8.0,8.0,0.0,187.0,0.0,0.0
Air France/KLM,Air France,Boeing 777,70.0,0.0,1.0,71.0,0.0,295.0,20619.0,11.2
Air France/KLM,KLM,Boeing 777,27.0,2.0,0.0,29.0,0.0,295.0,7953.0,8.7
Air France/KLM,Air France,Boeing 787 Dreamliner,1.0,0.0,0.0,1.0,13.0,265.0,265.0,0.1
Air France/KLM,KLM,Boeing 787 Dreamliner,8.0,3.0,0.0,11.0,13.0,265.0,2121.0,0.7
Air France/KLM,Air France,British Aerospace BAe 146/Avro RJ,0.0,0.0,3.0,3.0,0.0,14.0,0.0,0.0
Air France/KLM,Transavia,British Aerospace BAe 146/Avro RJ,0.0,0.0,1.0,1.0,0.0,14.0,0.0,0.0
Air France/KLM,HOP!,Canadair CRJ-100 Series,0.0,0.0,8.0,8.0,0.0,32.0,0.0,0.0
Air France/KLM,HOP!,Canadair CRJ-1000,14.0,0.0,0.0,14.0,0.0,49.0,686.0,5.4
Air France/KLM,HOP!,Canadair CRJ-700,12.0,0.0,3.0,15.0,0.0,41.0,492.0,12.8
Air France/KLM,HOP!,Embraer ERJ-145,16.0,0.0,6.0,22.0,0.0,20.0,314.0,16.6
Air France/KLM,HOP!,Embraer ERJ-170,15.0,0.0,1.0,16.0,0.0,39.0,581.0,9.4
Air France/KLM,KLM Cityhopper,Embraer ERJ-170,4.0,0.0,0.0,4.0,13.0,39.0,155.0,0.5
Air France/KLM,HOP!,Embraer ERJ-190,10.0,0.0,0.0,10.0,0.0,46.0,462.0,8.8
Air France/KLM,KLM Cityhopper,Embraer ERJ-190,30.0,0.0,0.0,30.0,0.0,46.0,1386.0,5.5
Air France/KLM,KLM Cityhopper,Fokker F50 / F60,0.0,0.0,23.0,23.0,0.0,18.0,0.0,0.0
Air France/KLM,Air France,Fokker F70 / F100,0.0,0.0,5.0,5.0,0.0,20.0,0.0,0.0
Air France/KLM,KLM,Fokker F70 / F100,0.0,0.0,6.0,6.0,0.0,20.0,0.0,0.0
Air France/KLM,KLM Cityhopper,Fokker F70 / F100,13.0,0.0,35.0,48.0,0.0,20.0,260.0,20.8
Air France/KLM,Air France,McDonnell Douglas DC-10,0.0,0.0,5.0,5.0,0.0,145.0,0.0,0.0
Air France/KLM,KLM,McDonnell Douglas DC-10,0.0,0.0,12.0,12.0,0.0,145.0,0.0,0.0
Air France/KLM,Martinair,McDonnell Douglas DC-10,0.0,0.0,5.0,5.0,0.0,145.0,0.0,0.0
Air France/KLM,Air France,McDonnell Douglas DC-8,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0
Air France/KLM,KLM,McDonnell Douglas DC-8,0.0,0.0,37.0,37.0,0.0,6.0,0.0,0.0
Air France/KLM,Martinair,McDonnell Douglas DC-8,0.0,0.0,6.0,6.0,0.0,6.0,0.0,0.0
Air France/KLM,KLM,McDonnell Douglas DC-9,0.0,0.0,25.0,25.0,0.0,45.0,0.0,0.0
Air France/KLM,Martinair,McDonnell Douglas DC-9,0.0,0.0,4.0,4.0,0.0,45.0,0.0,0.0
Air France/KLM,KLM,McDonnell Douglas MD-11,0.0,0.0,10.0,10.0,0.0,175.0,0.0,0.0
Air France/KLM,Martinair,McDonnell Douglas MD-11,0.0,0.0,7.0,7.0,0.0,175.0,0.0,0.0
Air France/KLM,Martinair,McDonnell Douglas MD-80,0.0,0.0,3.0,3.0,0.0,45.0,0.0,0.0
Air France/KLM,KLM Cityhopper,Saab 340,0.0,0.0,1.0,1.0,0.0,8.0,0.0,0.0
Air India,Air India,Airbus A300,0.0,0.0,5.0,5.0,0.0,75.0,0.0,0.0
Air India,Air India,Airbus A310,0.0,0.0,28.0,28.0,0.0,75.0,0.0,0.0
Air India,Air India,Airbus A319,22.0,0.0,2.0,24.0,0.0,90.0,1971.0,8.5
Air India,Air India,Airbus A320,26.0,4.0,12.0,42.0,14.0,98.0,2548.0,17.7
Air India,Air India,Airbus A321,20.0,0.0,0.0,20.0,0.0,115.0,2298.0,8.1
Air India,Air India,Airbus A330,0.0,0.0,2.0,2.0,0.0,240.0,0.0,0.0
Air India,Air India Regional,ATR 42/72,12.0,0.0,3.0,15.0,18.0,22.0,265.0,8.4
Air India,Air India Express,Boeing 737,23.0,0.0,8.0,31.0,0.0,74.0,1702.0,6.7
Air India,Air India,Boeing 737,0.0,0.0,5.0,5.0,0.0,74.0,0.0,0.0
Air India,Air India Regional,Boeing 737,0.0,0.0,1.0,1.0,0.0,74.0,0.0,0.0
Air India,Air India,Boeing 747,3.0,0.0,28.0,31.0,0.0,316.0,947.0,21.0
Air India,Air India,Boeing 757,0.0,0.0,1.0,1.0,0.0,73.0,0.0,0.0
Air India,Air India,Boeing 767,0.0,0.0,3.0,3.0,0.0,187.0,0.0,0.0
Air India,Air India,Boeing 777,15.0,3.0,9.0,27.0,3.0,295.0,4418.0,7.7
Air India,Air India,Boeing 787 Dreamliner,22.0,5.0,0.0,27.0,5.0,265.0,5832.0,3.1
Air India,Air India Regional,Canadair CRJ-700,3.0,0.0,1.0,4.0,0.0,41.0,123.0,13.7
Air India,Air India,Lockheed L-1011 TriStar,0.0,0.0,1.0,1.0,0.0,190.0,0.0,0.0
Air India,Air India,McDonnell Douglas DC-8,0.0,0.0,15.0,15.0,0.0,6.0,0.0,0.0
Air New Zealand,Air New Zealand,Airbus A320,30.0,0.0,0.0,30.0,0.0,98.0,2940.0,7.0
Air New Zealand,Air New Zealand Link,ATR 42/72,26.0,0.0,8.0,34.0,0.0,22.0,575.0,7.8
Air New Zealand,Air New Zealand,Boeing 737,0.0,0.0,51.0,51.0,0.0,74.0,0.0,0.0
Air New Zealand,Air New Zealand,Boeing 747,0.0,0.0,15.0,15.0,0.0,316.0,0.0,0.0
Air New Zealand,Air New Zealand,Boeing 767,2.0,0.0,21.0,23.0,0.0,187.0,374.0,22.8
Air New Zealand,Air New Zealand,Boeing 777,15.0,0.0,0.0,15.0,0.0,295.0,4418.0,7.9
Air New Zealand,Air New Zealand,Boeing 787 Dreamliner,9.0,1.0,0.0,10.0,3.0,265.0,2386.0,1.7
Air New Zealand,Air New Zealand Link,Bombardier Q300,23.0,0.0,0.0,23.0,0.0,31.0,720.0,10.2
Air New Zealand,Air New Zealand Link,British Aerospace BAe 146/Avro RJ,0.0,0.0,8.0,8.0,0.0,14.0,0.0,0.0
Air New Zealand,Air New Zealand,McDonnell Douglas DC-10,0.0,0.0,8.0,8.0,0.0,145.0,0.0,0.0
Air New Zealand,Air New Zealand,McDonnell Douglas DC-8,0.0,0.0,8.0,8.0,0.0,6.0,0.0,0.0
Air Transat,Air Transat,Airbus A310,9.0,0.0,5.0,14.0,0.0,75.0,675.0,26.4
Air Transat,Air Transat,Airbus A320,0.0,0.0,2.0,2.0,0.0,98.0,0.0,0.0
Air Transat,Air Transat,Airbus A330,14.0,0.0,0.0,14.0,0.0,240.0,3360.0,15.8
Air Transat,Air Transat,Boeing 727,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0
Air Transat,Air Transat,Boeing 737,18.0,0.0,7.0,25.0,0.0,74.0,1332.0,10.9
Air Transat,Air Transat,Boeing 757,0.0,0.0,9.0,9.0,0.0,73.0,0.0,0.0
